2024-08-05 16:11:39,841 - Training started for class: carpet
2024-08-05 19:11:20,680 - Pixel Auroc: 0.722, Sample Auroc: 0.840, Pixel Aupro: 0.505
2024-08-05 19:11:42,575 - Epoch [101/200], Loss: 0.3084
2024-08-05 19:11:59,558 - Epoch [102/200], Loss: 0.3546
2024-08-05 19:12:16,699 - Epoch [103/200], Loss: 0.3617
2024-08-05 19:12:34,090 - Epoch [104/200], Loss: 0.4314
2024-08-05 19:12:57,042 - Epoch [105/200], Loss: 0.4027
2024-08-05 19:13:20,322 - Epoch [106/200], Loss: 0.3597
2024-08-05 19:13:41,327 - Epoch [107/200], Loss: 0.3802
2024-08-05 19:14:04,565 - Epoch [108/200], Loss: 0.3490
2024-08-05 19:14:26,126 - Epoch [109/200], Loss: 0.3295
2024-08-05 19:14:48,041 - Epoch [110/200], Loss: 0.2905
2024-08-05 19:15:38,072 - Pixel Auroc: 0.928, Sample Auroc: 0.983, Pixel Aupro: 0.812
2024-08-05 19:16:03,121 - Epoch [111/200], Loss: 0.2981
2024-08-05 19:16:25,844 - Epoch [112/200], Loss: 0.3698
2024-08-05 19:16:47,627 - Epoch [113/200], Loss: 0.4278
2024-08-05 19:17:10,553 - Epoch [114/200], Loss: 0.3358
2024-08-05 19:17:33,100 - Epoch [115/200], Loss: 0.3124
2024-08-05 19:17:57,963 - Epoch [116/200], Loss: 0.3125
2024-08-05 19:18:21,034 - Epoch [117/200], Loss: 0.3118
2024-08-05 19:18:41,249 - Epoch [118/200], Loss: 0.2957
2024-08-05 19:19:03,328 - Epoch [119/200], Loss: 0.3317
2024-08-05 19:19:25,026 - Epoch [120/200], Loss: 0.4055
2024-08-05 19:20:01,272 - Pixel Auroc: 0.828, Sample Auroc: 0.706, Pixel Aupro: 0.667
2024-08-05 19:20:22,225 - Epoch [121/200], Loss: 0.4249
2024-08-05 19:20:41,582 - Epoch [122/200], Loss: 0.4562
2024-08-05 19:21:02,327 - Epoch [123/200], Loss: 0.3743
2024-08-05 19:21:24,506 - Epoch [124/200], Loss: 0.7806
2024-08-05 19:21:46,000 - Epoch [125/200], Loss: 0.6454
2024-08-05 19:22:08,252 - Epoch [126/200], Loss: 0.5874
2024-08-05 19:22:30,411 - Epoch [127/200], Loss: 0.5437
2024-08-05 19:22:52,526 - Epoch [128/200], Loss: 0.4819
2024-08-05 19:23:13,146 - Epoch [129/200], Loss: 0.5365
2024-08-05 19:23:35,421 - Epoch [130/200], Loss: 0.5119
2024-08-05 19:24:26,038 - Pixel Auroc: 0.915, Sample Auroc: 0.937, Pixel Aupro: 0.813
2024-08-05 19:24:54,101 - Epoch [131/200], Loss: 0.4943
